 EMILI Output File
 ------------------------------------
 Input Line List: zone-0-emi.in
 Input Matched List: zone-0-emi.match
 Results List: zone-0-emi.out
 Short Results List: zone-0-emi.dat
 Abundance Table: abun.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    9.99999978E-03
 ix 2:   0.987000048    
 ix 3:    1.00000005E-03
 ix 4:    1.00000005E-03
 ix 5:    1.00000005E-03

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       50.00
 Ni                         I     - XXIX        50.00
 Si                         I     - XV          50.00
 Ca                         I     - XXI         50.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    165.700958    
 irvcor 2:    170.145630    
 irvcor 3:    164.595108    
 irvcor 4:    161.649811    
 irvcor 5:    161.649811    

   4931.04 |    4933.550  N  I       469986321    262  6.1E-05-152.9 6/0 * 
   4931.04 |    4933.570  N  I       469985297    262  6.1E-05-154.1 7/0 * 
   4931.04 |    4933.600  N  I       469987345    262  6.1E-05-156.0 4/0 * 
   4931.04 | >  4936.360 [Fe III]   1746934786     54  9.0E-03-323.6 5/0 0<

Observed Line:  4961.55  1.2E+00  S/N:    33.28 FWHM:  53.5
+  4958.83 |    4958.660  C  II      403842094      7  5.8E-04  10.3 3/0 6C
+  4958.74 |    4958.744  C  I       402884625      7  1.9E-04  -0.4 1/0 5B
+  4958.88 |    4958.911 [O  III]    538972162     39  2.3E-02  -2.0 1/1 0A 5006.843  -2.4
   4958.83 |    4959.180  N  I       469970960    262  6.1E-05 -21.2 8/0 8D
   4958.83 |    4959.920  C  II      403841069      7  5.8E-04 -66.0 3/0 9 
   4958.83 | >  4961.600  N  I       470005779    262  6.1E-05-167.5 5/0 0<

Observed Line:  4988.71  1.6E-03  S/N:    11.65 FWHM:  61.5
   4985.97 |    4985.416  Cr II]    1611759652     23  4.3E-06  33.6 4/0 9 
